channel_alias,rank,title,url,video_id,view_count,like_count,comment_count,published_at
soviet,12,Чебурашка и Крокодил Гена —  все серии подряд  [HD],https://www.youtube.com/watch?v=aMHFMdAaBTQ,aMHFMdAaBTQ,40453984,52625,0,2014-07-18T14:06:58Z
soviet,13,Бременские музыканты - Все серии подряд HD,https://www.youtube.com/watch?v=cHeRDRAxowQ,cHeRDRAxowQ,36525465,62896,0,2015-01-20T13:05:00Z
soviet,14,Котенок по имени Гав — Все серии подряд [HD],https://www.youtube.com/watch?v=HORAvz3e738,HORAvz3e738,35384248,40500,0,2014-07-30T08:41:24Z
soviet,15,Сказки для детей - Кошкин дом,https://www.youtube.com/watch?v=uqGw8avTBVA,uqGw8avTBVA,34883830,60003,0,2012-08-09T02:37:27Z
soviet,16,"Ну, погоди! Все серии - Выпуск 11",https://www.youtube.com/watch?v=LLr7BXipUvI,LLr7BXipUvI,33907598,44927,17,2012-04-20T12:51:11Z
soviet,17,Карлсон Все серии подряд,https://www.youtube.com/watch?v=TZTjr-DN9xY,TZTjr-DN9xY,33872512,77767,0,2014-07-03T20:32:10Z
soviet,18,Мультконцерт - Веселая карусель Песни из мультфильмов [HD],https://www.youtube.com/watch?v=dH8cl8ZeBd0,dH8cl8ZeBd0,33524168,37752,0,2015-03-13T12:59:01Z
soviet,19,Мультфильмы: Как львенок и черепаха пели песню,https://www.youtube.com/watch?v=tKEblbzoasI,tKEblbzoasI,31819451,46372,0,2012-05-04T15:52:12Z
soviet,20,Чебурашка (с песней День рождения),https://www.youtube.com/watch?v=gVEHBYHj8Sk,gVEHBYHj8Sk,30296113,77368,0,2012-05-26T00:50:47Z
russian,1,Как же быстро растут дети 👶⬆️ #Shorts #машаимедведь #ВитаминРоста #MashaBearRus #дети  #рост,https://www.youtube.com/watch?v=UOeA3YO-jxE,UOeA3YO-jxE,885014028,4780493,0,2023-03-20T06:00:17Z
russian,2,Маша и Медведь 💥 НОВАЯ СЕРИЯ 💥 Сладкая жизнь 🍬🍭 (Серия 33) Masha and the Bear,https://www.youtube.com/watch?v=xcL-oGPxgCg,xcL-oGPxgCg,884396214,1261312,0,2013-06-01T18:27:37Z
